customerkey,geographykey,fullname,gender,yearlyincome,datefirstpurchase,city,state,region,postalcode
11079,34,DonaldGonzalez,M,160000,15-03-2022,Geelong,Victoria,Australia,3220
11080,30,DamienChander,M,170000,10-04-2020,Perth,South Australia,Australia,6006
11081,311,SavannahBaker,F,120000,12-02-2022,Concord,California,United States,94519
11082,322,AngelaButler,F,130000,22-01-2022,Fremont,California,United States,94536
11083,336,AlyssaCox,F,130000,06-01-2022,Lincoln Acres,California,United States,91950
11084,543,LucasPhillips,M,80000,04-01-2022,Lebanon,Oregon,United States,97355
11085,345,EmilyJohnson,F,60000,06-12-2022,Newport Beach,California,United States,92625
11086,369,RyanBrown,M,70000,02-07-2022,Santa Monica,California,United States,90401
11087,307,TamaraLiang,F,70000,25-02-2022,Chula Vista,California,United States,91910
11088,359,HunterDavis,M,80000,13-01-2022,San Diego,California,United States,92102
11089,337,AbigailPrice,F,80000,29-12-2021,Long Beach,California,United States,90802
11090,338,TrevorBryant,M,90000,07-08-2020,Los Angeles,California,United States,90012
11091,50,DaltonPerez,M,90000,29-01-2022,Haney,British Columbia,Canada,V2W 1W2
11092,22,CherylDiaz,F,90000,08-04-2020,East Brisbane,Queensland,Australia,4169
11093,19,AimeeHe,F,100000,07-04-2020,Wollongong,New South Wales,Australia,2500
11094,33,CedricMa,M,70000,07-04-2022,Cranbourne,Victoria,Australia,3977
11095,13,ChadKumar,M,70000,01-04-2020,Port Macquarie,New South Wales,Australia,2444
11096,12,AndrésAnand,M,60000,11-04-2020,North Sydney,New South Wales,Australia,2055
11097,40,EdwinNara,M,60000,04-04-2020,Warrnambool,Victoria,Australia,3280
11098,14,MalloryRubio,F,60000,11-02-2022,Rhodes,New South Wales,Australia,2138
11099,13,AdamRoss,M,60000,07-04-2020,Port Macquarie,New South Wales,Australia,2444
11100,28,LatashaNavarro,F,60000,16-04-2020,Cloverdale,South Australia,Australia,6105
11101,33,AbbySai,F,70000,29-04-2020,Cranbourne,Victoria,Australia,3977
11102,18,JuliaNelson,F,80000,16-07-2022,Sydney,New South Wales,Australia,1002
11103,3,CassieChande,F,70000,15-04-2020,Darlinghurst,New South Wales,Australia,2010
11104,23,EdgarSara,M,70000,04-05-2020,Gold Coast,Queensland,Australia,4217
11105,8,CandaceFernandez,F,70000,14-05-2020,Matraville,New South Wales,Australia,2036
11106,40,JessieLiu,M,70000,18-05-2020,Warrnambool,Victoria,Australia,3280
11107,17,BiancaLin,F,90000,01-05-2020,St. Leonards,New South Wales,Australia,2065
11108,13,KariAlvarez,F,70000,03-05-2020,Port Macquarie,New South Wales,Australia,2444
11109,38,RubenKapoor,M,70000,10-05-2020,South Melbourne,Victoria,Australia,3205
11110,3,CurtisYang,M,60000,01-05-2020,Darlinghurst,New South Wales,Australia,2010
11111,34,MeredithGutierrez,F,60000,20-05-2020,Geelong,Victoria,Australia,3220
11112,25,CrystalWang,F,60000,25-05-2020,Hervey Bay,Queensland,Australia,4655
11113,30,MichealBlanco,M,70000,01-02-2022,Perth,South Australia,Australia,6006
11114,14,LeslieMoreno,F,70000,18-03-2022,Rhodes,New South Wales,Australia,2138
11115,17,AlvinCai,M,70000,10-02-2022,St. Leonards,New South Wales,Australia,2065
11116,18,ClintonCarlson,M,70000,15-03-2022,Sydney,New South Wales,Australia,1002
11117,8,AprilDeng,F,70000,06-05-2020,Matraville,New South Wales,Australia,2036
11118,6,AlvinZeng,M,80000,10-07-2022,Lavender Bay,New South Wales,Australia,2060
11119,13,EvanJames,M,30000,03-02-2022,Port Macquarie,New South Wales,Australia,2444
11120,18,BethJiménez,F,40000,14-05-2020,Sydney,New South Wales,Australia,1002
11121,10,OrlandoSuarez,M,70000,24-06-2022,Newcastle,New South Wales,Australia,2300
11122,12,ByronVazquez,M,70000,21-02-2022,North Sydney,New South Wales,Australia,2055
11123,39,PhilipAlvarez,M,70000,17-04-2022,Sunbury,Victoria,Australia,3429
11124,40,RossJordan,M,80000,05-05-2020,Warrnambool,Victoria,Australia,3280
11125,37,DanaNavarro,F,70000,31-01-2022,Seaford,Victoria,Australia,3198
11126,11,ShaunCarson,M,10000,28-05-2020,North Ryde,New South Wales,Australia,2113
11127,361,JanEdwards,F,40000,10-04-2022,San Gabriel,California,United States,91776
11128,635,SamanthaLong,F,40000,19-06-2022,Renton,Washington,United States,98055
11129,638,JuliaWright,F,40000,06-08-2020,Sedro Woolley,Washington,United States,98284
11130,543,CarolineRussell,F,30000,09-12-2022,Lebanon,Oregon,United States,97355
11131,50,AmandaRivera,F,30000,18-10-2022,Haney,British Columbia,Canada,V2W 1W2
11132,51,MelissaRichardson,F,30000,09-04-2022,Langford,British Columbia,Canada,V9
11133,542,AngelaGriffin,F,30000,30-12-2022,Lake Oswego,Oregon,United States,97034
11134,30,LarryTownsend,M,10000,03-05-2020,Perth,South Australia,Australia,6006
11135,302,MarcusHarris,M,30000,18-04-2022,Burlingame,California,United States,94010
11136,53,BriannaMorgan,F,40000,03-01-2022,Metchosin,British Columbia,Canada,V9
11137,641,JasmineTaylor,F,40000,31-07-2022,Spokane,Washington,United States,99202
11138,325,LaurenDavis,F,40000,19-09-2022,Glendale,California,United States,91203
11139,28,TanyaMoreno,F,30000,14-09-2022,Cloverdale,South Australia,Australia,6105
11140,301,JavierAlvarez,M,30000,19-03-2022,Burbank,California,United States,91502
11141,314,NicoleRamirez,F,40000,16-05-2022,Daly City,California,United States,94015
11142,51,EduardoPatterson,M,40000,13-02-2022,Langford,British Columbia,Canada,V9
11143,334,JonathanHenderson,M,40000,15-06-2022,Lakewood,California,United States,90712
11144,607,EdwardHernandez,M,40000,25-01-2022,Ballard,Washington,United States,98107
11145,536,JasmineColeman,F,40000,25-01-2022,Beaverton,Oregon,United States,97005
11146,8,KarlaGoel,F,40000,05-02-2022,Matraville,New South Wales,Australia,2036
11147,40,ErnestWu,M,60000,13-05-2020,Warrnambool,Victoria,Australia,3280
11148,22,RossVazquez,M,40000,07-03-2022,East Brisbane,Queensland,Australia,4169
11149,25,TheodoreGill,M,40000,04-06-2022,Hervey Bay,Queensland,Australia,4655
11150,39,RussellShen,M,40000,27-03-2022,Sunbury,Victoria,Australia,3429
11151,18,MelindaGill,F,60000,15-05-2020,Sydney,New South Wales,Australia,1002
11152,633,JamesWilliams,M,40000,09-01-2022,Puyallup,Washington,United States,98371
11153,635,AngelaJames,F,40000,29-03-2022,Renton,Washington,United States,98055
11154,553,MeganWalker,F,40000,10-01-2022,Woodburn,Oregon,United States,97071
11155,301,HunterRobinson,M,40000,06-01-2022,Burbank,California,United States,91502
11156,334,MariaRoberts,F,40000,08-01-2022,Lakewood,California,United States,90712
11157,642,HannahLong,F,40000,24-07-2022,Tacoma,Washington,United States,98403
11158,361,JasonWright,M,40000,19-01-2022,San Gabriel,California,United States,91776
11159,385,BriannaHughes,F,40000,08-09-2022,Woodland Hills,California,United States,91364
11160,311,MauriceTang,M,40000,21-02-2022,Concord,California,United States,94519
11161,311,EmilyWood,F,40000,01-06-2022,Concord,California,United States,94519
11162,331,ChaseCox,M,40000,18-02-2022,La Jolla,California,United States,92806
11163,372,GabrielWang,M,40000,01-05-2022,Spring Valley,California,United States,91977
11164,374,DevinBrooks,M,40000,27-04-2022,Torrance,California,United States,90505
11165,348,JocelynAlexander,F,60000,25-05-2022,Oakland,California,United States,94611
11166,631,AshleyMartinez,F,70000,14-10-2022,Olympia,Washington,United States,98501
11167,618,JasmineBarnes,F,80000,07-01-2022,Issaquah,Washington,United States,98027
11168,348,DavidRodriguez,M,80000,15-01-2022,Oakland,California,United States,94611
11169,312,BryceRichardson,M,90000,26-05-2022,Coronado,California,United States,92118
11170,612,CarolHoward,F,90000,26-08-2022,Burien,Washington,United States,98168
11171,385,JonathanHill,M,100000,20-08-2020,Woodland Hills,California,United States,91364
11172,626,GabrielleAdams,F,100000,03-05-2022,Lynnwood,Washington,United States,98036
11173,552,SarahThomas,F,110000,02-03-2022,W. Linn,Oregon,United States,97068
11174,338,NicholasRobinson,M,110000,13-07-2022,Los Angeles,California,United States,90012
11175,300,LuisWang,M,70000,28-08-2020,Beverly Hills,California,United States,90210
11176,50,MasonRoberts,M,90000,02-02-2022,Haney,British Columbia,Canada,V2W 1W2
11177,359,JoseFlores,M,110000,29-03-2022,San Diego,California,United States,92102
11178,334,NathanJohnson,M,100000,21-02-2022,Lakewood,California,United States,90712
11179,300,MollyRodriguez,F,120000,12-03-2022,Beverly Hills,California,United States,90210
11180,307,AprilAnand,F,160000,17-03-2022,Chula Vista,California,United States,91910
11181,338,DevinMartin,M,170000,07-05-2022,Los Angeles,California,United States,90012
11182,638,StephanieTorres,F,70000,28-08-2022,Sedro Woolley,Washington,United States,98284
11183,368,JasmineLee,F,70000,30-04-2022,Santa Cruz,California,United States,95062
11184,311,MeghanHernandez,F,70000,10-08-2022,Concord,California,United States,94519
11185,53,AshleyHenderson,F,70000,21-02-2022,Metchosin,British Columbia,Canada,V9
11186,352,SarahPrice,F,70000,18-10-2022,Palo Alto,California,United States,94303
11187,612,JenniferCooper,F,60000,03-04-2022,Burien,Washington,United States,98168
11188,361,CatherineMorris,F,60000,01-11-2022,San Gabriel,California,United States,91776
11189,609,LawrenceBlanco,M,60000,26-08-2020,Bellingham,Washington,United States,98225
11190,300,CarsonBryant,M,70000,28-08-2022,Beverly Hills,California,United States,90210
11191,310,KristiPerez,F,70000,11-08-2020,Colma,California,United States,94014
11192,637,JamesBrown,M,60000,23-06-2022,Seattle,Washington,United States,98104
11193,553,IanGray,M,60000,25-02-2022,Woodburn,Oregon,United States,97071
11194,352,JacquelinePrice,F,60000,13-03-2022,Palo Alto,California,United States,94303
11195,635,MeganHenderson,F,60000,14-04-2022,Renton,Washington,United States,98055
11196,536,AlfredoRomero,M,60000,03-03-2022,Beaverton,Oregon,United States,97005
11197,637,AndreaMorris,F,70000,02-05-2022,Seattle,Washington,United States,98104
11198,368,BrookeSanders,F,70000,05-02-2022,Santa Cruz,California,United States,95062
11199,302,JacquelineBennett,F,70000,18-03-2022,Burlingame,California,United States,94010
11200,69,JasonGriffin,M,70000,07-02-2022,Victoria,British Columbia,Canada,V8V
11201,369,AmandaFoster,F,70000,01-07-2022,Santa Monica,California,United States,90401
11202,334,AlexiaPrice,F,80000,15-09-2022,Lakewood,California,United States,90712
11203,60,LuisDiaz,M,40000,20-02-2022,Port Hammond,British Columbia,Canada,V6B 3P7
11204,536,DestinyRivera,F,40000,09-08-2022,Beaverton,Oregon,United States,97005
11205,612,AbbyFernandez,F,40000,27-07-2022,Burien,Washington,United States,98168
11206,626,BlakeFlores,M,60000,11-05-2022,Lynnwood,Washington,United States,98036
11207,635,DanielleCox,F,60000,31-01-2022,Renton,Washington,United States,98055
11208,325,MariaReed,F,60000,04-03-2022,Glendale,California,United States,91203
11209,336,AllisonEvans,F,60000,25-03-2022,Lincoln Acres,California,United States,91950
11210,383,EdwardWood,M,70000,06-05-2022,West Covina,California,United States,91791
11211,50,SamanthaRussell,F,40000,01-02-2022,Haney,British Columbia,Canada,V2W 1W2
11212,53,ChloeCampbell,F,40000,30-01-2022,Metchosin,British Columbia,Canada,V9
11213,614,StephanieMurphy,F,60000,28-03-2022,Edmonds,Washington,United States,98020
11214,545,CharlesMiller,M,60000,14-08-2022,Milwaukie,Oregon,United States,97222
11215,62,AnaPerry,F,40000,15-02-2022,Royal Oak,British Columbia,Canada,V8X
11216,547,JasmineTorres,F,60000,15-08-2020,Portland,Oregon,United States,97205
11217,547,NatalieAdams,F,60000,10-08-2020,Portland,Oregon,United States,97205
11218,642,OliviaBrown,F,60000,28-02-2022,Tacoma,Washington,United States,98403
11219,553,CharlesCook,M,60000,29-10-2022,Woodburn,Oregon,United States,97071
11220,310,EricaHuang,F,60000,14-03-2022,Colma,California,United States,94014
11221,334,NathanPerry,M,70000,07-04-2022,Lakewood,California,United States,90712
11222,369,AlexandraRivera,F,80000,01-11-2022,Santa Monica,California,United States,90401
11223,52,HaileyPatterson,F,70000,29-01-2022,Langley,British Columbia,Canada,V3A 4R2
11224,612,TiffanyLi,F,70000,07-08-2020,Burien,Washington,United States,98168
11225,635,MadisonLee,F,60000,22-06-2022,Renton,Washington,United States,98055
11226,552,SydneyRoss,F,60000,21-02-2022,W. Linn,Oregon,United States,97068
11227,310,MarshallChavez,M,60000,03-08-2020,Colma,California,United States,94014
11228,316,AshleyJones,F,60000,25-10-2022,El Cajon,California,United States,92020
11229,355,AdrianStewart,M,70000,27-07-2022,Redwood City,California,United States,94063
11230,369,AmberTurner,F,70000,16-07-2022,Santa Monica,California,United States,90401
11231,611,DennisZhang,M,60000,10-02-2022,Bremerton,Washington,United States,98312
11232,616,HaileyBryant,F,60000,20-09-2022,Everett,Washington,United States,98201
11233,299,ToddLi,M,70000,08-02-2022,Berkeley,California,United States,94704
11234,337,AnnaGriffin,F,70000,08-02-2022,Long Beach,California,United States,90802
11235,607,AngelStewart,M,70000,04-07-2022,Ballard,Washington,United States,98107
11236,609,JeremyButler,M,70000,03-10-2022,Bellingham,Washington,United States,98225
11237,161,ClarenceAnand,M,130000,05-09-2020,Solingen,Nordrhein-Westfalen,Germany,42651
11238,232,MayraPrasad,F,130000,06-01-2020,Birmingham,England,United Kingdom,B29 6SL
11239,249,LatoyaGoel,F,130000,19-01-2020,London,England,United Kingdom,SW1P 2NU
11240,273,AnneHernandez,F,160000,27-02-2020,Watford,England,United Kingdom,WA3
11241,211,LisaCai,F,100000,10-09-2021,Les Ulis,Essonne,France,91940
11242,209,LarryMunoz,M,110000,19-09-2021,Versailles,Yveline,France,78000
11243,237,RobinAlvarez,F,150000,21-02-2020,Esher-Molesey,England,United Kingdom,EM15
11244,267,AlexisColeman,F,170000,12-02-2020,Runcorn,England,United Kingdom,TY31
11245,132,RickyVazquez,M,120000,26-09-2020,Hamburg,Hessen,Germany,22001
11246,147,LatashaRubio,F,120000,03-10-2020,Hamburg,Hamburg,Germany,20354
11247,242,ClaudiaZhou,F,130000,18-02-2020,Lancaster,England,United Kingdom,LA1 1LN
11248,223,TristanAlexander,M,110000,14-07-2022,Saint-Denis,Seine Saint Denis,France,93400
11249,178,CindyPatel,F,130000,09-10-2020,Sulzbach Taunus,Saarland,Germany,66272
11250,276,ShannonLiu,F,170000,17-03-2020,Woolston,England,United Kingdom,WA1 4SY
11251,50,XavierLong,M,30000,18-10-2022,Haney,British Columbia,Canada,V2W 1W2
11252,335,NicholasThompson,M,90000,14-08-2020,Lemon Grove,California,United States,91945
11253,69,JoséHernandez,M,60000,01-03-2022,Victoria,British Columbia,Canada,V8V
11254,612,JohnathanVance,M,70000,23-11-2022,Burien,Washington,United States,98168
11255,612,ColinLin,M,70000,23-02-2022,Burien,Washington,United States,98168
11256,626,KatelynHernandez,F,70000,15-04-2022,Lynnwood,Washington,United States,98036
11257,345,JacquelinePowell,F,120000,24-08-2020,Newport Beach,California,United States,92625
11258,352,XavierHill,M,120000,21-05-2022,Palo Alto,California,United States,94303
11259,548,VictoriaStewart,F,100000,04-09-2020,Salem,Oregon,United States,97301
11260,302,KatelynKelly,F,110000,05-02-2022,Burlingame,California,United States,94010
11261,359,StephanieCollins,F,130000,27-09-2020,San Diego,California,United States,92102
11262,60,JenniferSimmons,F,80000,27-02-2022,Port Hammond,British Columbia,Canada,V6B 3P7
11263,612,TrinityRichardson,F,90000,29-08-2020,Burien,Washington,United States,98168
11264,618,EduardoMartin,M,90000,02-01-2022,Issaquah,Washington,United States,98027
11265,623,ElizabethJones,F,90000,03-01-2022,Kirkland,Washington,United States,98033
11266,632,TaylorHoward,F,90000,10-09-2020,Port Orchard,Washington,United States,98366
11267,302,DavidDiaz,M,120000,17-09-2020,Burlingame,California,United States,94010
11268,312,KatelynCarter,F,130000,29-05-2022,Coronado,California,United States,92118
11269,314,RyanFoster,M,130000,22-08-2022,Daly City,California,United States,94015
11270,334,RobertLee,M,130000,10-09-2020,Lakewood,California,United States,90712
11271,360,DanielleReed,F,150000,27-09-2020,San Francisco,California,United States,94109
11272,300,LaurenMartinez,F,70000,19-09-2020,Beverly Hills,California,United States,90210
11273,331,NathanLal,M,90000,14-05-2022,La Jolla,California,United States,92806
11274,609,KyleFoster,M,50000,29-08-2020,Bellingham,Washington,United States,98225
11275,310,JennyRai,F,80000,30-08-2020,Colma,California,United States,94014
11276,49,NancyChapman,F,80000,29-01-2022,Cliffside,British Columbia,Canada,V8Y 1L1
11277,62,CharlesJackson,M,80000,02-02-2022,Royal Oak,British Columbia,Canada,V8X
11278,614,JonathanPhillips,M,90000,16-09-2020,Edmonds,Washington,United States,98020
11279,616,AmandaCook,F,90000,03-03-2022,Everett,Washington,United States,98201
11280,626,RobertCollins,M,90000,01-07-2022,Lynnwood,Washington,United States,98036
11281,301,MeganBarnes,F,110000,13-09-2020,Burbank,California,United States,91502
11282,612,ChristianThomas,M,90000,31-08-2020,Burien,Washington,United States,98168
11283,299,ArturoLal,M,110000,29-05-2022,Berkeley,California,United States,94704
11284,307,TheresaSerrano,F,110000,06-02-2022,Chula Vista,California,United States,91910
11285,322,JeremyAnderson,M,120000,27-07-2022,Fremont,California,United States,94536
11286,374,HunterGriffin,M,170000,21-09-2020,Torrance,California,United States,90505
11287,49,HenryGarcia,M,70000,29-01-2022,Cliffside,British Columbia,Canada,V8Y 1L1
11288,301,CindySanchez,F,110000,05-03-2022,Burbank,California,United States,91502
11289,315,MariaCarter,F,130000,08-09-2020,Downey,California,United States,90241
11290,334,KatelynSanchez,F,130000,20-09-2020,Lakewood,California,United States,90712
11291,335,JennaWright,F,130000,04-09-2020,Lemon Grove,California,United States,91945
11292,361,SethPhillips,M,150000,15-09-2020,San Gabriel,California,United States,91776
11293,632,LukeLong,M,60000,24-02-2022,Port Orchard,Washington,United States,98366
11294,618,DaltonClark,M,60000,25-09-2022,Issaquah,Washington,United States,98027
11295,311,TaylorLewis,F,80000,25-09-2020,Concord,California,United States,94519
11296,616,HaleyRichardson,F,50000,01-09-2020,Everett,Washington,United States,98201
11297,301,NoahColeman,M,70000,26-09-2020,Burbank,California,United States,91502
11298,307,JonLuo,M,70000,12-09-2020,Chula Vista,California,United States,91910
11299,301,OrlandoVazquez,M,70000,26-09-2020,Burbank,California,United States,91502
11300,54,FernandoBarnes,M,80000,31-01-2022,N. Vancouver,British Columbia,Canada,V7L 4J4
11301,607,CameronRodriguez,M,80000,09-06-2022,Ballard,Washington,United States,98107
11302,539,SpencerRussell,M,90000,06-09-2020,Corvallis,Oregon,United States,97330
11303,614,JuliaColeman,F,90000,02-09-2020,Edmonds,Washington,United States,98020
11304,547,JuliaGarcia,F,100000,20-03-2022,Portland,Oregon,United States,97205
11305,307,SeanEvans,M,110000,25-03-2022,Chula Vista,California,United States,91910
11306,312,MicahZhou,M,110000,30-06-2022,Coronado,California,United States,92118
11307,314,HunterRodriguez,M,80000,04-09-2020,Daly City,California,United States,94015
11308,546,IanGonzales,M,60000,07-09-2022,Oregon City,Oregon,United States,97045
11309,536,VictoriaLewis,F,60000,09-07-2022,Beaverton,Oregon,United States,97005
11310,360,ErinSanders,F,70000,12-08-2022,San Francisco,California,United States,94109
11311,626,GabrielleLopez,F,70000,18-04-2022,Lynnwood,Washington,United States,98036
11312,626,SaraRichardson,F,70000,17-05-2022,Lynnwood,Washington,United States,98036
11313,632,TrevorJenkins,M,70000,07-05-2022,Port Orchard,Washington,United States,98366
11314,618,MyaFlores,F,70000,25-02-2022,Issaquah,Washington,United States,98027
11315,632,HaileyWard,F,70000,20-05-2022,Port Orchard,Washington,United States,98366
11316,51,LukeAllen,M,60000,12-01-2022,Langford,British Columbia,Canada,V9
11317,548,VictoriaRussell,F,40000,01-09-2020,Salem,Oregon,United States,97301
11318,614,JessicaWilson,F,40000,17-10-2022,Edmonds,Washington,United States,98020
11319,348,JadeBailey,F,70000,09-09-2020,Oakland,California,United States,94611
11320,325,MorganHill,F,80000,15-06-2022,Glendale,California,United States,91203
11321,612,TerranceRaman,M,90000,23-02-2022,Burien,Washington,United States,98168
11322,611,SydneyGarcia,F,90000,24-03-2022,Bremerton,Washington,United States,98312
11323,314,JosePatterson,M,120000,10-09-2020,Daly City,California,United States,94015
11324,325,ZacharyAnderson,M,90000,26-09-2020,Glendale,California,United States,91203
11325,637,ElijahRoss,M,90000,19-09-2020,Seattle,Washington,United States,98104
11326,300,RafaelXie,M,130000,15-09-2020,Beverly Hills,California,United States,90210
11327,301,JaimeMoreno,M,90000,26-09-2020,Burbank,California,United States,91502
11328,55,JulianGriffin,M,90000,05-01-2022,Newton,British Columbia,Canada,V2L3W8
11329,311,AndyAlvarez,M,90000,25-09-2020,Concord,California,United States,94519
11330,59,RyanThompson,M,110000,12-02-2022,Oak Bay,British Columbia,Canada,V8P
11331,63,SamanthaJenkins,F,90000,07-02-2022,Shawnee,British Columbia,Canada,V8Z 4N5
11332,153,DeannaRamos,F,10000,15-10-2020,Berlin,Nordrhein-Westfalen,Germany,14197
11333,261,EmilyMiller,F,20000,21-03-2020,Newcastle upon Tyne,England,United Kingdom,NT20
